"Buyer Name","Batch Number","Container weight","Date & Time"
" Beit Alal",SAN-HAY-03-066-1728,18.5,"2021:10:12 18:01:48"
" Beit Alal",SAN-HAY-03-014-1729,16.1,"2021:10:12 18:01:48"
" Beit Alal",SAN-HAY-03-016-1730,8.55,"2021:10:12 18:01:48"
" Beit Alal",SAN-HAY-03-052-1732,13.15,"2021:10:12 18:01:48"
" Beit Alal",SAN-HAY-03-071-1733,11.4,"2021:10:12 18:01:48"
" Beit Alal",SAN-HAY-03-038-1734,64.95,"2021:10:12 18:01:48"
" Beit Alal",SAN-HAY-03-008-1735,16.25,"2021:10:12 18:01:48"
" Beit Alal",SAN-HAY-03-054-1740,4.3,"2021:10:12 20:18:03"
" Beit Alal",SAN-HAY-03-060-1747,24,"2021:10:13 19:49:38"
" Beit Alal",SAN-HAY-03-034-1748,2.4,"2021:10:13 19:49:38"
" Beit Alal",SAN-HAY-03-026-1749,5.55,"2021:10:13 19:49:38"
" Beit Alal",SAN-HAY-03-048-1750,4.8,"2021:10:13 19:49:38"
" Beit Alal",SAN-HAY-03-018-1752,22.35,"2021:10:13 19:49:38"
" Beit Alal",SAN-HAY-03-014-1753,11.8,"2021:10:13 19:49:38"
" Beit Alal",SAN-HAY-03-038-1754,72.3,"2021:10:13 19:49:38"
" Beit Alal",SAN-HAY-03-088-1755,25.15,"2021:10:13 19:49:39"
" Beit Alal",SAN-HAY-03-043-1756,20.3,"2021:10:13 19:49:39"
" Beit Alal",SAN-HAY-03-017-1757,33.1,"2021:10:14 06:27:18"
" Beit Alal",SAN-HAY-03-091-1758,9.35,"2021:10:14 06:27:18"
" Beit Alal",SAN-HAY-03-056-1759,9.35,"2021:10:14 06:27:18"
" Beit Alal",SAN-HAY-03-037-1760,8.75,"2021:10:14 06:27:18"
" Beit Alal",SAN-HAY-03-015-1761,8,"2021:10:14 06:27:18"
" Beit Alal",SAN-HAY-03-071-1762,8.15,"2021:10:14 06:27:18"
" Beit Alal",SAN-HAY-03-055-1763,4.65,"2021:10:14 06:27:18"
" Beit Alal",SAN-HAY-03-033-1764,6.55,"2021:10:14 06:27:18"
" Beit Alal",SAN-HAY-03-034-1765,2.6,"2021:10:14 06:27:18"
" Beit Alal",SAN-HAY-03-020-1766,2.65,"2021:10:14 06:27:18"
" Beit Alal",SAN-HAY-03-072-1767,8.2,"2021:10:14 06:27:18"
" Beit Alal",SAN-HAY-03-013-1768,6.3,"2021:10:14 06:27:18"
" Beit Alal",SAN-HAY-03-021-1769,6.6,"2021:10:14 06:27:18"
" Beit Alal",SAN-HAY-03-098-1770,4.3,"2021:10:14 06:27:18"
" Beit Alal",SAN-HAY-03-001-1772,44.95,"2021:10:14 06:27:19"
" Beit Alal",SAN-HAY-03-088-1773,22.3,"2021:10:14 06:27:19"
" Beit Alal",SAN-HAY-03-005-1774,107.35,"2021:10:14 06:27:19"
" Beit Alal",SAN-HAY-03-014-1775,97,"2021:10:14 06:27:19"
" Beit Alal",SAN-HAY-03-038-1776,610.35,"2021:10:14 06:27:19"
